strength,variant,n_total,arcface_count,arcface_mean,arcface_median,arcface_p10,face_detection_coverage,no_face,multiple_faces,source_mae,source_rmse
0.0,frozen,32,32,0.9169699493795633,0.9204390645027161,0.898821222782135,1.0,0,3,0.01658738066907972,0.026523656968493015
0.25,frozen,32,32,0.318213366670534,0.3323564976453781,0.18790778070688247,1.0,0,7,0.0544884589035064,0.07688074489124119
0.5,frozen,32,31,0.04618015095231033,0.0461566187441349,-0.008565589785575867,0.96875,1,25,0.12709161429665983,0.17070002807304263
0.75,frozen,32,28,0.02764087596109935,0.027344551868736744,-0.03941610008478164,0.875,4,19,0.22934696776792407,0.2929503316991031
1.0,frozen,32,15,0.01755083321283261,0.002890542149543762,-0.023709485679864882,0.46875,17,7,0.32627136213704944,0.39618624188005924
0.0,trained,32,32,0.9169699493795633,0.9204390645027161,0.898821222782135,1.0,0,3,0.01658738066907972,0.026523656968493015
0.25,trained,32,32,0.5489498972892761,0.5602160692214966,0.4541109502315521,1.0,0,3,0.03758763207588345,0.05528858443722129
0.5,trained,32,32,0.43443924747407436,0.4513229578733444,0.3171605676412582,1.0,0,2,0.05575089540798217,0.08193308673799038
0.75,trained,32,32,0.2899029686814174,0.28001417219638824,0.17357175797224045,1.0,0,0,0.09020375018008053,0.12794762197881937
1.0,trained,32,28,0.21259980169790132,0.22209182381629944,0.056973622366786006,0.875,4,2,0.17285937117412686,0.2279656222090125
